CardNumber,CardType,Error
5.41S+15,Invalid,Error
4.12E+12,Invalid,Error
3.41E+14,Invalid,Error
6.01E+15,Invalid,Error
{},Invalid,Error
,Invalid,Error
51000d0000000000,Invalid,Error
$#%$,Invalid,Error
aqrcbg,Invalid,Error
5,Invalid,Error
0,Invalid,Error
5100000000000000,MasterCard,None
5500000000000000,MasterCard,None
5000000000000000,Invalid,Error
5600000000000000,Invalid,Error
4100000000000000,Visa,None
4000000000001,Visa,None
4000000000001999,Visa,None
400000000000,Invalid,Error
3000000000001,Invalid,Error
340000000000000,AmericanExpress,None
370000000000000,AmericanExpress,None
34000000000000,Invalid,Error
6011000000000000,Discover,None
601100000000000,Invalid,Error
6110000000000000,Invalid,Error
